Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Gallivan Corning Hill Properties,River Road & Retreat House Road,,Glenmont,NY,12077,Albany,4,5182716100,Sean M Gallivan,Private,C&D processing - registration,[01W06],Yes,601044,4718354,4.2 - Utilization of GIS and existing spatial data,,01W06,04/01/2013,,"River Road & Retreat House Road
Glenmont, NY 12077
(42.609645, -73.768415)"
Bronx City Recycling (1390 Viele Ave),1390 Viele Avenue,,Bronx,NY,10474,Bronx,2,7188606071,Domnick Eugene,Private,C&D processing - registration,[03W88],Yes,594445,4517979,,Asphalt;Brick;Metals (Ferrous);Metals (Non-Ferrous);Concrete;Construction & Demolition Debris;Rock;Soil (Clean),03W88,,,"1390 Viele Avenue
Bronx, NY 10474
(40.807508, -73.880071)"
CRM Company LLC,4294 Albany Street; Suite 3,,Colonie,NY,12205,Albany,4,4809873006,H Barry Takallou,Private,Waste tire storage - New product manufacturing,[01K11],Yes,593387,4731352,,Waste Tires,,,,"4294 Albany Street; Suite 3
Colonie, NY 12205
(42.729576, -73.860038)"
Hadley Transfer Station/Recycling Center,4059 North Shore Road,,Hadley,NY,12835,Saratoga,5,5186963414,Town of Hadley,Municipal,RHRF - 5 tpd or less - registration,[46R10028],Yes,592871,4796713,,Single Stream,46R10028,03/15/2022,03/14/2027,"4059 North Shore Road
Hadley, NY 12835
(43.316281, -73.855937)"
Berlin (T) Transfer Station,28 Dale Road,,Berlin,NY,12022,Rensselaer,4,5186582161,Town of Berlin,Municipal,Transfer facility - registration,[42T22001],Yes,633033,4729876,,MSW (Residential/Institutional & Commercial);Single Stream;Yard Waste;Bulk Metal,42T12001,03/22/2019,03/22/2019,"28 Dale Road
Berlin, NY 12022
(42.709417, -73.375545)"
Teets & Sons Scrap Metal Recycling - Newfield,738 Black Oak Road,,Newfield,NY,14867,Tompkins,7,6072721908,Richard Teeter Jr.,Private,VDF - large - registration,[55V50013],Yes,362769,4695115,1 - No accuracy stated,End of Life Vehicles;Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;Lead Weights,55V50013,10/10/2019,10/10/2024,"738 Black Oak Road
Newfield, NY 14867
(42.393957, -76.667205)"
Peoples II Inc,3250 Route 9W,,Highland,NY,12528,Ulster,3,8456918989,Michael Frankowski,Private,VDF - large - registration,[56V50003],Yes,586366,4623676,,End of Life Vehicles,56V50003,04/09/2019,04/08/2024,
Frost Tree & Brush,286 Tidball Road,,Duanesburg,NY,12306,Schenectady,4,,Robert Frost,Private,Landfill - land clearing debris,[47D17],Yes,572069,4739249,1 - No accuracy stated,,47D17,,,"286 Tidball Road
Duanesburg, NY 12306
(42.802036, -74.120835)"
Oswego County Energy Recovery Facility,2801 State Rte 481,,Fulton,NY,13069,Oswego,7,3155919280,Oswego County DPW,County,Waste combustion - MSW WTE,[38E01],Yes,384495,4800555,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Non-hazardous Waste;Sludge (Industrial);Ash MSW Energy Recovery Combined;Bypass Waste (Unprocessible/Processible) ;Metals (Ferrous & Non-Ferrous),7-3558-00013/00012,07/29/2014,07/28/2024,"2801 State Rte 481
Fulton, NY 13069
(43.348899, -76.424309)"
Kingsbury Transfer Station,1612 Route 196,,Hudson Falls,NY,12839,Washington,5,5187478196,Kingsbury Transfer Station; LLC,Private,Transfer facility - permit,[58TP0012],Yes,614685,4795165,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous),5-5344-00027-00011,12/18/2020,07/08/2023,
Williams Farm LCD Landfill,99 Wager Lane,,Schaghticoke,NY,12154,Washington,5,5184216273,Frank & Donna Williams,Private,Landfill - land clearing debris,[58D08],Yes,615040,4757668,,Land Clearing Debris,58D08,02/29/2008,,"99 Wager Lane
Schaghticoke, NY 12154
(42.96441, -73.585217)"
Clarkson Transfer Station,3078 Redman Road,,Clarkson,NY,14430,Monroe,8,5856371132,Town of Clarkson,Municipal,RHRF - 5 tpd or less - registration,[28R10008],Yes,259343,4793956,4.2 - Utilization of GIS and existing spatial data,Metals (Ferrous);Metals (Non-Ferrous);Electronics;Waste Tires;Source Separated Recyclables (Metal/Glass/Paper/Plastic),28R10008,05/14/2019,05/13/2024,"3078 Redman Road
Clarkson, NY 14430
(43.260215, -77.96654)"
Outstanding Renewal Enterprises (LowerEastSideEcologyCenter),bellow the Williamsburg Bridge on the Manhattan side near..,..the x-section of FDR Drive&Delancey Str in East River Park,New York,NY,10002,New York,2,2124774022,Lower East Side Ecology Center,,Composting - source separated organic waste - registration,[31C22],Yes,586427,4507667,,,31C22,,,
Tom McGinnis Excavating,78 1/2 Lake Street,,LeRoy,NY,14482,Genesee,8,5857686769,Thomas McGinnis,Private,Land application - septage - registration,[19L08],Yes,257174,4765843,,Septage,,,,"78 1/2 Lake Street
LeRoy, NY 14482
(42.983203, -77.992252)"
Swarthout Recycling LLC,1514 County Road 19,,Beaver Dams,NY,14812,Schuyler,8,6079360013,Brian Swarthout,Private,VDF - large - registration,[49V50006],Yes,338770,4685717,,End of Life Vehicles,49V50006,09/25/2019,09/25/2024,"1514 County Road 19
Beaver Dams, NY 14812
(42.306929, -76.957617)"
The Last Pasture,3228 Dodgeson Rd,,Alexander,NY,14005,Genesee,8,5854097002,Carolyn Caccamise,Private,Composting - roadkill/mortalities - registration,[19P30006],Yes,723073,4757124,4.1 - Address Matching,Wood/Brush;Animal Carcasses,19P30006,12/28/2018,12/28/2023,"3228 Dodgeson Rd
Alexander, NY 14005
(42.940855, -78.267524)"
Happy Farmland LLC,40 Strawridge Road,,Wallkill,NY,12589,Ulster,3,9292648020,Qi Song,Private,Composting - SSO - registration,[56P20004],Yes,569693,4605219,,Source Separated Organic Waste (SSOW),56P20004,02/05/2021,02/04/2022,"40 Strawridge Road
Wallkill, NY 12589
(41.598107, -74.160141)"
Glomann LCD Landfill,29 Glomann Road,,Keeseville,NY,12944,Essex,5,5188345037,John Glomann,Private,Landfill - land clearing debris,[16D10],Yes,618821,4924202,4.3 - Utilization of Digital Orthophoto Quads,Land Clearing Debris,16D10,05/09/2005,,"29 Glomann Road
Keeseville, NY 12944
(44.460497, -73.5066)"
Poughkeepsie TS (C),26 Howard St - DPW Yard,,Poughkeepsie,NY,12601,Dutchess,3,8454514111,City of Poughkeepsie,Municipal,Transfer facility - registration,[14T10004],Yes,591022,4618093,,MSW (Residential/Institutional & Commercial);Single Stream;Wood (Brush/ Branches/ Trees/ Stumps);Yard Waste,14T10004,01/31/2019,01/31/2024,"26 Howard St - DPW Yard
Poughkeepsie, NY 12601
(41.709397, -73.905184)"
Chappell's Auto Recycling,4630 County Road 46,,Canandaigua,NY,14424,Ontario,8,5857647811,Martin Chappell,Private,VDF - large - registration,[35V50003],Yes,315350,4750908,1 - No accuracy stated,End of Life Vehicles,35V50003,05/15/2018,05/14/2023,"4630 County Road 46
Canandaigua, NY 14424
(42.888368, -77.26072)"
Troup's Creek Auto Parts Corp,397 State Route 36,,Troupsburg,NY,14885,Steuben,8,6075256442,Dale LeBarron,Private,Scrap metal processor - registration,[51V30072],Yes,291062,4654996,,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,51V30072,10/30/2019,10/29/2024,"397 State Route 36
Troupsburg, NY 14885
(42.020307, -77.52397)"
Town of Trenton Transfer Station,224 Veteran's Way,,Trenton (T),NY,13304,Oneida,6,3158962615,Town of Trenton,Municipal,CDDHRF - uncontaminated soil sand gravel rock - registration,[33C60025],Yes,484637,4789620,,Soil (Clean);Sand;Gravel;Rock,33C60025,07/29/2021,07/28/2026,"224 Veteran's Way
Trenton (T), NY 13304
(43.261247, -75.18742)"
Gershow Recycling of Freeport,143 Hanse Avenue,,Freeport,NY,11520,Nassau,1,5166340644,Gershow Recycling of Freeport Inc,Private,Scrap metal processor - registration,[30V30102],Yes,620800,4500610,1 - No accuracy stated,,30V50102,12/15/2018,12/14/2021,"143 Hanse Avenue
Freeport, NY 11520
(40.647433, -73.572256)"
#1 Auto Parts,2130 Route 14,,Geneva,NY,14456,Ontario,8,8002479253,John P. Sebastian,Private,VDF - large - registration,[35V50001],Yes,338588,4754896,,End of Life Vehicles,35V50001,05/14/2018,05/13/2023,"2130 Route 14
Geneva, NY 14456
(42.930176, -76.977843)"
Southern Tier Recycling Center,225 Homer Street,,Olean,NY,14760,Cattaraugus,9,8002273558,Casella Waste Management of NY; Inc.,Private,RHRF - greater than 5 tpd - registration,[05R20022],Yes,215617,4666770,4.2 - Utilization of GIS and existing spatial data,Single Stream;Commingled Paper,05R20022,09/18/2019,09/18/2024,"225 Homer Street
Olean, NY 14760
(42.101736, -78.439734)"
Edward Arnold Scrap Processors Inc,2216 Angling Road,,Corfu,NY,14036,Genesee,8,5857629080,Edward Arnold Jr,Private,RHRF - 5 tpd or less - registration,[19R10008],Yes,227805,4763946,,Commingled Containers;Commingled Paper;Paperboard/Boxboard;Office Paper;Plastics,19R10008,05/19/2018,05/18/2023,"2216 Angling Road
Corfu, NY 14036
(42.979677, -78.337622)"
College of Veterinary Medicine at Cornell University,Upper Tower Road,,Ithaca,NY,14853,Tompkins,7,6072533760,College of Vet Medicine at Cornell,State,RMW - permit,[55JP0005],Yes,379548,4700524,1 - No accuracy stated,,7-5030-00007/00006,04/06/2020,04/05/2030,
Danskammer Landfill(Mercia),994 River Road,Danskammer Generation Station,Newburgh,NY,12550,Orange,3,8455639116,Helios Power Capital LLC,Private,Landfill - industrial waste monofill - permit,[36N01],Yes,586321,4602888,,Ash (Coal-Fly);Ash (Coal-Bottom),3-3346-00011/00018,12/05/2018,11/13/2021,"994 River Road
Newburgh, NY 12550
(41.571641, -73.976941)"
Orange County Transfer Station #2 (Newburgh CDA),9 Orr Avenue,,Newburgh,NY,12550,Orange,3,8453741901,Orange County,County,Transfer station - permit,[36T09],Yes,576765,4595131,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Single Stream;Magazines;Metals (Ferrous & Non-Ferrous);Waste Tires;Waste Oil (Other);Electronics;Commingled Paper & Containers;Construction & Demolition Debris,3-3346-00069/00005,11/27/2018,11/26/2023,"9 Orr Avenue
Newburgh, NY 12550
(41.504699, -74.08036)"
Karl Edmundson,3084 State Route 28,,Shokan,NY,12481,Ulster,3,8457501515,Karl Edmundson,Private,Composting - yard trimmings - registration,[56P10003],Yes,565875,4647388,4 - GIS Assisted,Yard Waste,56P10003,12/28/2020,12/27/2022,"3084 State Route 28
Shokan, NY 12481
(41.974149, -74.201784)"
Poland Sand & Gravel - Floyd,Koenig Road,,Floyd,NY,13440,Oneida,6,3158263761,PSG Realty LLC,Private,CDDHRF - concrete rock brick - registration,[33C10024],Yes,472117,4782361,1.1 - Obtained from original submission and unverified process,Concrete;Brick;Rock,33C10024,10/15/2020,10/14/2025,
Pocantico River Road Compost Facility,Pocantico River Rd.,,Pleasantville,NY,10570,Westchester,3,9147422300,Town of Mt. Pleasant,,Composting - yard waste - permit,[60Y07],Yes,602641,4550083,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste,3-5534-00096/00007,06/21/2019,06/20/2024,
All Recycling Inc.,279 South William Street,,Newburgh,NY,12550,Orange,3,8455627530,Hal Roth,Private,Scrap metal processor - registration,[36V30003],Yes,581737,4594358,,Scrap Metal - Ferrous ;Scrap Metal - Aluminum ;Copper;Brass,36V30003,11/15/2018,11/14/2022,"279 South William Street
Newburgh, NY 12550
(41.496736, -74.02082)"
Metropolitan Transfer Station,287 Halleck Street,,Bronx,NY,10474,Bronx,2,7185897733,Waste Connections,Private,Transfer station - permit,[03T36],Yes,594488,4517915,,MSW (Residential/Institutional & Commercial);Compost;Metals (Ferrous & Non-Ferrous),2-6007-00007/00004,07/17/2020,08/10/2020,"287 Halleck Street
Bronx, NY 10474
(40.806731, -73.879659)"
Sims Metal Management LIC,30-27 Greenpoint Avenue,,Long Island City,NY,11101,Queens,2,7187866031,Sims Metal Management East,Private,RHRF - registration,[41MA6],Yes,589598,4509798,4.3 - Utilization of Digital Orthophoto Quads,Metals (Aluminum);Metals (Ferrous);Metals (Non-Ferrous);Commingled Paper;Source Separated Recyclables (Metal/Glass/Paper/Plastic),41MA6,,,"30-27 Greenpoint Avenue
Long Island City, NY 11101
(40.734072, -73.939017)"
Mid Island Auto Wreckers Inc. (Deer Park),1013 Long Island Ave,,Deer Park,NY,11729,Suffolk,1,6315866599,David Marro,Private,VDF - large - registration,[52V50321],Yes,642389,4514164,,End of Life Vehicles,52V50321,10/07/2020,10/06/2025,"1013 Long Island Ave
Deer Park, NY 11729
(40.765663, -73.312506)"
Hi Tech Holdings LLC d/b/a Scholes Street Recycling,492 Scholes Street,,Brooklyn,NY,11237,Kings,2,7183865750,Hi Tech Holdings LLC,Private,RHRF - registration,[24MF9],Yes,590578,4507234,,Paper/Cardboard;Source Separated Recyclables (Metal/Glass/Paper/Plastic);Commingled Paper;Metals (Ferrous);Metals (Non-Ferrous);Plastics,24MF9,,,"492 Scholes Street
Brooklyn, NY 11237
(40.711397, -73.927846)"
Niagara Metals LLC - Niagara Falls,4861 Packard Road,,Niagara Falls,NY,14304,Niagara,9,7162826200,Niagara Metals LLC,Private,Scrap metal processor - registration,[32V30017],Yes,174049,4779401,1 - No accuracy stated,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;Stainless Steel,32V30017,09/03/2019,09/03/2024,"4861 Packard Road
Niagara Falls, NY 14304
(43.097976, -79.003898)"
Chenango County Landfill,439 County Road 47,,Norwich,NY,13815,Chenango,7,6073371790,Chenango County,County,Landfill - MSW - permit,[09S16],Yes,444503,4713241,4.3 - Utilization of Digital Orthophoto Quads,Treated RMW;MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Asbestos (Friable);Industrial;Sewage Treatment Plant Sludge,7-0848-00005/00003,07/08/2015,07/07/2025,"439 County Road 47
Norwich, NY 13815
(42.559415, -75.670908)"
Broome Recycling Co. Inc.,29 Broad Street,,Binghamton,NY,13904,Broome,7,6077243805,Elbert Adams,Private,RHRF - greater than 5 tpd - registration,[04R20012],Yes,426311,4663785,,Single Stream,04R20012,10/09/2019,10/09/2024,"29 Broad Street
Binghamton, NY 13904
(42.122488, -75.890086)"
Stanford TS (T),181 Bangall-Amenia Road,,Stanford,NY,12581,Dutchess,3,8458681031,Town of Stanford,Municipal,Transfer facility - registration,[14T10003],Yes,609874,4636872,,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Corrugated Cardboard;Newspaper;Metals (Ferrous & Non-Ferrous),14T10003,01/29/2019,01/28/2024,"181 Bangall-Amenia Road
Stanford, NY 12581
(41.876026, -73.674792)"
P & M Auto Parts & Wrecker Service & Used Cars,6612 State Highway 12,,Norwich,NY,13815,Chenango,7,6073347625,Michael Donnelly,Private,Motor vehicle repair shop - large - registration,[09V40023],Yes,456571,4714583,,End of Life Vehicles,,,,"6612 State Highway 12
Norwich, NY 13815
(42.582526, -75.52893)"
IWS Goshen Transfer Station (Northern),95 Hartley Road,,Goshen,NY,10924,Orange,3,8452941555,IWS Transfer Systems of NY; Inc,Private,Transfer station - permit,[36T07],Yes,552194,4583822,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers,3-3330-00094/00001,09/26/2019,09/25/2024,"95 Hartley Road
Goshen, NY 10924
(41.404233, -74.375439)"
Renewable Recycling Inc,3001C New Street,,Oceanside,NY,11572,Nassau,1,9175416971,Christine Kiourtsis,Private,RHRF - 5 tpd or less - registration,[30R20123],Yes,613531,4499525,1 - No accuracy stated,Other - Mattresses,30R20123,05/12/2021,05/11/2024,"3001C New Street
Oceanside, NY 11572
(40.639371, -73.656186)"
NRG Huntley Landfill,3500 River Road,,Tonawanda,NY,14150,Erie,9,7168793876,Huntley Power LLC,Private,Landfill - industrial waste monofill - permit,[15N24],Yes,179570,4767036,4.2 - Utilization of GIS and existing spatial data,Ash (Coal-Fly);Ash (Coal-Bottom),9-1464-00089/00002,11/03/2016,01/03/2023,"3500 River Road
Tonawanda, NY 14150
(42.970813, -78.927581)"
Cape Vincent Transfer Station,33112 Wilson Road,,Cape Vincent,NY,13618,Jefferson,6,3156544734,Town of Cape Vincent,Municipal,Transfer facility - registration,[23T10026],Yes,397758,4886864,4.1 - Address Matching,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),23T10026,11/21/2019,11/20/2024,
Grafton Town Transfer Station,2379 State Route 2,PO Box 1,Grafton,NY,12082,Rensselaer,4,,Town of Grafton,Municipal,Transfer facility - registration,[42T12601],Yes,627097,4736361,,MSW (Residential/Institutional & Commercial);Single Stream,42T12601,03/22/2019,03/22/2024,
Auto Salvage Technologies Inc,3107 State Route 28,,Herkimer,NY,13350,Herkimer,6,3158667278,Albert Doolen,Private,VDF - small - registration,[22V20011],Yes,500944,4766257,,End of Life Vehicles,22V20011,02/05/2020,02/04/2025,"3107 State Route 28
Herkimer, NY 13350
(43.049845, -74.985976)"
J Mantovi Excavating Inc dba Mahopac Septic,485 Kennicut Hill Road,,Mahopac,NY,10541,Putnam,3,8456284526,Joseph Mantovi,Private,Transfer station - permit,[40T06],Yes,606155,4580165,,Septage;Sewage Treatment Plant Sludge,3-3720-00094/00005,11/30/2018,11/29/2023,"485 Kennicut Hill Road
Mahopac, NY 10541
(41.366331, -73.730259)"
Clayton Transfer Station,36243 County Route 4,,Clayton (T),NY,13624,Jefferson,6,3156864512,Town of Clayton,Municipal,RHRF - 5 tpd or less - registration,[23R10013],Yes,407708,4893948,1 - No accuracy stated,Commingled Containers;Commingled Paper;Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Container Glass;Waste Tires,23R10013,04/09/2019,04/08/2024,"36243 County Route 4
Clayton (T), NY 13624
(44.192745, -76.153591)"
Hunters Point Recycling Inc,29-55 Hunters Point Ave,,Long Island City,NY,11101,Queens,2,5167796081,James Juliano,Private,C&D processing - registration,[41MB1],Yes,589575,4510523,,Concrete;Rock;Soil (Clean);Metals (Ferrous);Metals (Non-Ferrous);Wood (Unadulterated),41MB1,,,"29-55 Hunters Point Ave
Long Island City, NY 11101
(40.740624, -73.939092)"
Snyder Farm,8463 East Loop Road,,Port Byron,NY,13140,Cayuga,7,3157765356,Richard L Snyder,,Storage - recognizable food processing waste - registration,[06A50026],Yes,363513,4765779,4 - GIS Assisted,Food Scraps,06A50026,11/28/2018,05/03/2023,"8463 East Loop Road
Port Byron, NY 13140
(43.028172, -76.689079)"
Town Line Auto,6501 State Route 32,,Greenville,NY,12083,Albany,4,5189668003,Town Line Auto,Private,Motor vehicle repair shop - small - registration,[01V23801],Yes,581915,4701630,,End of Life Vehicles,01V23801,06/14/2019,06/14/2024,"6501 State Route 32
Greenville, NY 12083
(42.463161, -74.004021)"
Constantine Construction & Farm  Inc,566 Albany Shaker Road,,Loudonville,NY,12211,Albany,4,5184588294,Constantine Construction & Farm; Inc.,Private,C&D processing - registration,[01W15],Yes,599359,4730104,4.2 - Utilization of GIS and existing spatial data,Concrete,01W15,04/20/2011,,"566 Albany Shaker Road
Loudonville, NY 12211
(42.716167, -73.785256)"
Eastern Metal Recycling Inc,2170 River Road,,Selkirk,NY,12045,Albany,4,5182731142,Eastern Metal Recycling Inc,Private,Scrap metal processor - registration,[01V39101],Yes,599226,4704744,,Steel,01V39101,04/01/2019,04/01/2024,"2170 River Road
Selkirk, NY 12045
(42.484951, -73.793835)"
Pick N Pull of Auburn Inc,6983 North Street Road,,Auburn,NY,13021,Cayuga,7,3152523006,6983 North Street LLC,Private,Vehicle Dismantling Facility,[7046915],Yes,372333,4757101,3.3 - Hand-Held Unit (real-time;diff. corrected),,DMV #7046915,,,"6983 North Street Road
Auburn, NY 13021
(42.955466, -76.564731)"
Saratoga County Recycling Center at Clifton Park,217 Vischer Ferry Road,,Clifton Park,NY,12065,Saratoga,5,5183710963,Town of Clifton Park,Municipal,RHRF - 5 tpd or less - registration,[46R10001],Yes,596129,4742251,,White Goods;Single Stream;Propane Tanks;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Other - Batteries,46R10001,08/02/2018,08/01/2023,
